1 1 1 40,700377 0,270818
1 2 1 41,707133 0,250334
1 3 1 40,719549 0,306988
2 1 1 41,321021 -0,209140
2 2 1 43,040288 0,255218
2 3 1 41,459368 -0,251816
3 1 1 41,365441 0,211167
3 2 1 40,817131 0,246583
3 3 1 41,414158 0,283564
4 1 1 41,939982 0,246506
4 2 1 40,160998 0,257779
4 3 1 38,718912 0,260484
5 1 1 41,936716 0,237038
5 2 1 40,734051 0,299862
5 3 1 41,548151 0,263041
6 1 1 39,576270 0,249937
6 2 1 40,844637 0,257977
6 3 1 40,562191 0,266734
7 1 1 39,025176 0,243679
7 2 1 39,809630 0,228299
7 3 1 42,661490 0,273943
8 1 1 39,374996 0,248078
8 2 1 41,282976 0,245345
8 3 1 40,269549 0,552381
9 1 1 40,505000 0,354000
9 2 1 43,642171 0,260358
9 3 1 41,466790 0,321005
10 1 1 42,183692 0,246943
10 2 1 42,873933 0,297890
10 3 1 40,518420 0,281295
11 1 1 40,458190 0,223355
11 2 1 39,849186 -0,248849
11 3 1 42,344280 0,257037
12 1 1 40,939993 0,214520
12 2 1 40,027716 0,215410
12 3 1 40,401567 0,267157
13 1 1 42,620313 0,202999
13 2 1 41,450639 0,246293
13 3 1 40,022210 0,251592
14 1 1 40,683281 0,196476
14 2 1 43,189427 0,281560
14 3 1 42,789578 0,263498
15 1 1 40,989262 0,237631
15 2 1 40,799425 0,238653
15 3 1 42,735258 0,257640
16 1 1 40,604304 0,239900
16 2 1 39,922271 0,252710
16 3 1 38,930065 0,239972
17 1 1 41,393903 0,336256
17 2 1 41,012099 0,264332
17 3 1 41,379275 0,299948
18 1 1 41,528599 0,256491
18 2 1 42,456146 0,376584
18 3 1 41,323914 0,263696
19 1 1 42,923217 0,214465
19 2 1 41,963585 0,235741
19 3 1 44,181876 0,232710
20 1 1 42,061904 0,253471
20 2 1 41,722955 0,245309
20 3 1 43,476280 0,299072
21 1 1 43,803158 0,343019
21 2 1 41,981085 0,244459
21 3 1 42,988363 0,266984
22 1 1 42,578375 0,209051
22 2 1 43,978417 0,241200
22 3 1 44,472512 0,231467
23 1 1 42,928550 0,203646
23 2 1 43,507472 0,229675
23 3 1 42,228973 0,327197
24 1 1 41,591796 0,226232
24 2 1 39,937079 0,235327
24 3 1 40,971565 0,282910
