1 1 1 0,866974 0,271412
1 2 1 0,595016 -2,622222
1 3 1 0,619284 -0,640498
2 1 1 0,524103 -0,944340
2 2 1 0,659742 -0,599350
2 3 1 0,602749 -0,230835
3 1 1 0,688134 -0,329244
3 2 1 0,601891 0,316520
3 3 1 0,502790 -0,055753
4 1 1 0,646251 -1,455255
4 2 1 0,648584 1,977971
4 3 1 0,643934 2,884938
5 1 1 0,883906 -0,307634
5 2 1 1,028145 0,351029
5 3 1 0,823683 0,420877
6 1 1 0,824400 1,075959
6 2 1 0,804796 -0,577828
6 3 1 0,643190 -0,209707
7 1 1 0,710173 0,118684
7 2 1 0,829725 0,280455
7 3 1 0,656550 -0,737233
8 1 1 0,728706 0,969995
8 2 1 0,694639 0,425065
8 3 1 0,592587 -0,069549
9 1 1 0,504525 2,014607
9 2 1 0,436822 -2,711233
9 3 1 0,365374 0,681634
10 1 1 0,580652 1,143357
10 2 1 0,606056 -0,898065
10 3 1 0,485247 -0,509731
11 1 1 0,624661 -0,698142
11 2 1 0,642855 0,381761
11 3 1 0,456160 -2,490099
12 1 1 0,635370 -0,333852
12 2 1 0,598590 -1,248678
12 3 1 0,452755 -1,168181
13 1 1 0,668551 -1,011699
13 2 1 0,718712 -0,132121
13 3 1 0,810229 0,294650
14 1 1 0,553968 -0,825249
14 2 1 0,680514 -1,155356
14 3 1 0,609597 -1,649134
15 1 1 0,761124 0,419929
15 2 1 0,731463 0,415903
15 3 1 0,564443 -1,880315
16 1 1 0,735602 0,488751
16 2 1 0,640503 1,703852
16 3 1 0,748396 0,850238
17 1 1 0,793147 0,737242
17 2 1 0,648700 -0,357896
17 3 1 0,691089 -0,299122
18 1 1 0,695529 -0,214912
18 2 1 0,794582 -0,059343
18 3 1 0,472776 -0,432979
19 1 1 0,477386 -0,972089
19 2 1 0,598862 0,105164
19 3 1 0,538972 -2,132550
20 1 1 0,728049 0,225278
20 2 1 0,684407 0,785916
20 3 1 0,479125 2,197035
21 1 1 0,641890 0,894896
21 2 1 0,715345 -0,312728
21 3 1 0,585073 -0,847408
22 1 1 0,730057 -0,702129
22 2 1 0,616335 0,211027
22 3 1 0,611041 -1,869302
23 1 1 0,671705 -0,871839
23 2 1 0,410314 -0,925567
23 3 1 0,858805 -0,041828
24 1 1 0,654247 -0,987807
24 2 1 0,640187 -0,847245
24 3 1 0,604546 -0,462689
