1 1 1 0,363 1,000
1 2 1 -2,845 1,000
1 3 1 -0,698 1,000
2 1 1 -1,234 1,000
2 2 1 -0,599 1,000
2 3 1 -0,295 1,000
3 1 1 -0,360 1,000
3 2 1 0,098 1,000
3 3 1 -0,206 1,000
4 1 1 -1,510 1,000
4 2 1 2,428 1,000
4 3 1 3,367 1,000
5 1 1 -0,573 1,000
5 2 1 0,257 1,000
5 3 1 0,476 1,000
6 1 1 1,062 1,000
6 2 1 -0,563 1,000
6 3 1 -0,189 1,000
7 1 1 0,295 1,000
7 2 1 0,463 1,000
7 3 1 -0,730 1,000
8 1 1 1,399 1,000
8 2 1 0,463 1,000
8 3 1 -0,295 1,000
9 1 1 2,362 1,000
9 2 1 -3,141 1,000
9 3 1 -0,051 1,000
10 1 1 1,395 1,000
10 2 1 -1,350 1,000
10 3 1 -0,752 1,000
11 1 1 -0,681 1,000
11 2 1 0,412 1,000
11 3 1 -2,735 1,000
12 1 1 -0,206 1,000
12 2 1 -1,390 1,000
12 3 1 -1,190 1,000
13 1 1 -1,217 1,000
13 2 1 -0,168 1,000
13 3 1 0,463 1,000
14 1 1 -0,638 1,000
14 2 1 -1,044 1,000
14 3 1 -2,046 1,000
15 1 1 0,580 1,000
15 2 1 0,519 1,000
15 3 1 -2,277 1,000
16 1 1 0,758 1,000
16 2 1 1,796 1,000
16 3 1 0,928 1,000
17 1 1 1,046 1,000
17 2 1 -0,206 1,000
17 3 1 0,211 1,000
18 1 1 -0,669 1,000
18 2 1 -0,042 1,000
18 3 1 -0,359 1,000
19 1 1 -0,969 1,000
19 2 1 0,337 1,000
19 3 1 -2,420 1,000
20 1 1 0,488 1,000
20 2 1 1,143 1,000
20 3 1 2,344 1,000
21 1 1 1,321 1,000
21 2 1 -0,051 1,000
21 3 1 -1,083 1,000
22 1 1 -0,799 1,000
22 2 1 0,309 1,000
22 3 1 -2,069 1,000
23 1 1 -0,752 1,000
23 2 1 -0,838 1,000
23 3 1 0,084 1,000
24 1 1 -1,015 1,000
24 2 1 -0,766 1,000
24 3 1 -0,379 1,000
