1 1 1 1,024532 0,834329
1 2 1 4,463786 -8,822324
1 3 1 0,973520 0,534720
2 1 1 1,139306 -2,017771
2 2 1 1,182257 -0,953413
2 3 1 0,972536 0,008116
3 1 1 1,493916 -3,582713
3 2 1 1,063742 0,428805
3 3 1 0,642942 0,303201
4 1 1 0,135228 0,071378
4 2 1 2,568194 3,507110
4 3 1 3,068949 0,641541
5 1 1 3,499033 -8,434391
5 2 1 0,987796 1,585028
5 3 1 0,697646 5,997819
6 1 1 0,981856 1,642079
6 2 1 1,093107 -0,767784
6 3 1 1,345357 0,356309
7 1 1 2,171827 2,628795
7 2 1 0,904585 0,473746
7 3 1 1,156483 -0,195079
8 1 1 0,466518 7,293899
8 2 1 3,428510 2,239357
8 3 1 0,811574 -0,571473
9 1 1 -2,864626 -7,440945
9 2 1 0,501165 -3,134533
9 3 1 0,907685 0,518200
10 1 1 1,108375 3,201770
10 2 1 1,219336 -2,089363
10 3 1 2,030462 -3,216565
11 1 1 0,807420 -0,917753
11 2 1 1,197026 0,264712
11 3 1 1,848795 -0,539278
12 1 1 0,673765 0,930410
12 2 1 -2,615866 15,454925
12 3 1 0,066215 4,839266
13 1 1 0,592713 -0,444999
13 2 1 1,411207 -0,931595
13 3 1 1,389483 1,415846
14 1 1 12,116678 -18,541727
14 2 1 2,342878 -3,496077
14 3 1 0,495277 -0,807105
15 1 1 0,859428 0,614104
15 2 1 1,047913 0,569506
15 3 1 3,583304 -8,015467
16 1 1 1,132100 1,305498
16 2 1 2,203464 2,122587
16 3 1 2,989579 2,607992
17 1 1 0,954354 0,504668
17 2 1 1,152098 0,517386
17 3 1 1,489962 0,578638
18 1 1 1,152553 -3,237325
18 2 1 1,181176 0,889602
18 3 1 1,564255 1,615853
19 1 1 1,540191 1,295505
19 2 1 1,915832 0,052461
19 3 1 2,023132 -1,928022
20 1 1 -0,204873 -1,956015
20 2 1 1,062171 0,500492
20 3 1 -0,038356 5,299585
21 1 1 1,619906 4,111063
21 2 1 0,628017 2,087104
21 3 1 3,104136 -1,772250
22 1 1 0,407657 -0,408426
22 2 1 1,235422 0,671678
22 3 1 1,887753 -1,925427
23 1 1 0,923098 -1,852128
23 2 1 1,160616 -1,255550
23 3 1 2,546917 -6,902951
24 1 1 0,943734 1,600212
24 2 1 0,885156 -0,827399
24 3 1 0,727500 -1,838478
