1 1 1 41,409364 0,263851
1 2 1 42,278896 0,228692
1 3 1 41,317762 0,234499
2 1 1 41,910007 0,237241
2 2 1 43,585163 0,212050
2 3 1 41,905869 0,250309
3 1 1 41,551805 0,294016
3 2 1 41,455411 0,355145
3 3 1 42,342089 0,281182
4 1 1 42,883984 0,543073
4 2 1 41,370003 0,357428
4 3 1 39,491030 0,272221
5 1 1 42,711371 0,209886
5 2 1 41,352906 0,258661
5 3 1 42,326161 0,217321
6 1 1 40,292610 0,231795
6 2 1 40,779728 0,186226
6 3 1 41,003215 0,206580
7 1 1 39,811522 0,211995
7 2 1 40,346024 0,185364
7 3 1 43,187685 0,238743
8 1 1 39,955629 1,464839
8 2 1 42,219860 1,824487
8 3 1 41,036989 0,401162
9 1 1 41,294262 0,266715
9 2 1 44,222643 0,212193
9 3 1 42,716164 0,257526
10 1 1 42,498655 0,196374
10 2 1 43,388680 0,202955
10 3 1 40,839057 0,204498
11 1 1 40,661643 0,638786
11 2 1 40,435359 0,271966
11 3 1 42,737207 0,217997
12 1 1 41,799653 1,067448
12 2 1 40,455390 0,410265
12 3 1 40,962474 0,841034
13 1 1 43,414377 0,211801
13 2 1 42,122777 0,217976
13 3 1 40,329076 0,289538
14 1 1 41,020457 0,204865
14 2 1 42,828624 0,205216
14 3 1 43,216448 0,218815
15 1 1 41,963985 0,177236
15 2 1 41,454024 0,177254
15 3 1 43,234875 0,209435
16 1 1 41,447669 2,826108
16 2 1 41,112779 0,394569
16 3 1 39,644283 0,365858
17 1 1 42,143256 0,189442
17 2 1 41,306040 0,225374
17 3 1 41,681169 0,211245
18 1 1 42,300474 0,181357
18 2 1 42,865318 0,187906
18 3 1 41,655208 0,218120
19 1 1 43,475224 0,670445
19 2 1 42,202953 0,229873
19 3 1 45,110744 0,207846
20 1 1 43,024918 0,333103
20 2 1 42,373870 0,329052
20 3 1 44,526350 0,422411
21 1 1 44,992068 0,193198
21 2 1 42,461380 0,208374
21 3 1 43,372161 0,259621
22 1 1 42,759839 0,166235
22 2 1 44,585553 0,237088
22 3 1 45,276048 0,234057
23 1 1 43,695362 0,201914
23 2 1 44,000088 0,206157
23 3 1 42,475715 0,208250
24 1 1 42,494666 0,336446
24 2 1 40,527468 0,386542
24 3 1 41,525394 0,248719
