1 1 1 40,847598 0,370140
1 2 1 41,701341 0,274802
1 3 1 40,750200 0,236245
2 1 1 41,276747 0,260927
2 2 1 42,916304 0,293820
2 3 1 41,265571 0,273772
3 1 1 41,028657 0,222298
3 2 1 40,837666 0,227041
3 3 1 41,643817 0,322288
4 1 1 42,098350 0,240282
4 2 1 40,596534 0,270777
4 3 1 38,799685 0,270554
5 1 1 42,153978 0,243164
5 2 1 40,715922 0,253763
5 3 1 41,687179 0,243045
6 1 1 39,700214 0,264782
6 2 1 40,166186 0,282568
6 3 1 40,408063 0,293341
7 1 1 39,212362 0,225396
7 2 1 39,711523 0,284760
7 3 1 42,562310 0,265661
8 1 1 39,689219 0,236232
8 2 1 41,455528 0,240684
8 3 1 39,884209 0,145600
9 1 1 40,717548 0,300210
9 2 1 43,670451 0,256937
9 3 1 42,128496 0,349809
10 1 1 42,003889 0,249025
10 2 1 42,816395 0,354433
10 3 1 40,283016 0,323121
11 1 1 40,507529 0,216967
11 2 1 39,691354 0,267401
11 3 1 42,022485 0,284190
12 1 1 41,168931 0,225549
12 2 1 39,806733 0,212810
12 3 1 40,339395 0,232901
13 1 1 42,854425 0,216845
13 2 1 41,611215 0,271417
13 3 1 39,781574 0,231710
14 1 1 40,452960 0,191515
14 2 1 42,257283 0,298293
14 3 1 42,664334 0,278984
15 1 1 41,398615 0,238524
15 2 1 40,909515 0,251250
15 3 1 42,646193 0,264834
16 1 1 40,784954 0,239889
16 2 1 40,299985 0,248500
16 3 1 38,800910 0,248880
17 1 1 41,561819 0,247195
17 2 1 40,801124 0,204536
17 3 1 41,127818 0,276392
18 1 1 41,793148 0,245744
18 2 1 42,198734 0,378833
18 3 1 41,014967 0,262687
19 1 1 42,676539 0,219013
19 2 1 41,451171 0,228190
19 3 1 44,387780 0,250765
20 1 1 42,289854 0,244801
20 2 1 41,662356 0,228759
20 3 1 43,660905 0,293794
21 1 1 44,281372 0,336122
21 2 1 41,845044 -0,204142
21 3 1 42,745194 0,249307
22 1 1 42,161769 0,217512
22 2 1 43,866633 0,271229
22 3 1 44,575331 0,235858
23 1 1 42,998687 0,195094
23 2 1 43,240384 0,241917
23 3 1 41,814190 0,330246
24 1 1 41,603915 0,288796
24 2 1 39,651584 0,237255
24 3 1 40,705640 0,295439
