1 1 1 40,823588 -0,348103
1 2 1 41,839486 0,295200
1 3 1 40,564471 0,263510
2 1 1 41,291744 0,262332
2 2 1 43,102312 0,261296
2 3 1 41,519147 0,262467
3 1 1 41,453622 0,205778
3 2 1 41,125985 0,231718
3 3 1 41,918219 0,277534
4 1 1 42,043069 0,244295
4 2 1 40,102188 0,258370
4 3 1 39,039978 0,245856
5 1 1 42,064717 0,231276
5 2 1 41,173451 0,231932
5 3 1 41,721482 0,257830
6 1 1 39,633864 0,251400
6 2 1 41,106178 0,243189
6 3 1 40,919620 0,271813
7 1 1 39,242451 0,236514
7 2 1 39,816736 0,231472
7 3 1 42,775511 0,252147
8 1 1 39,412837 0,249458
8 2 1 41,414919 -0,298171
8 3 1 40,582293 0,027212
9 1 1 40,767453 0,320209
9 2 1 43,766766 0,246851
9 3 1 42,059023 0,290868
10 1 1 42,090355 0,245381
10 2 1 43,211673 0,284214
10 3 1 41,029220 0,303590
11 1 1 40,591031 0,223927
11 2 1 39,980154 0,243359
11 3 1 42,443172 0,245461
12 1 1 41,031500 0,220642
12 2 1 40,338585 0,219716
12 3 1 40,543770 0,263815
13 1 1 42,666282 0,205181
13 2 1 41,560121 0,254710
13 3 1 40,042683 0,239622
14 1 1 40,624516 0,184545
14 2 1 43,276241 0,285403
14 3 1 42,815532 0,255234
15 1 1 41,162605 0,245929
15 2 1 40,979254 0,234389
15 3 1 42,846261 0,258231
16 1 1 40,640666 0,238884
16 2 1 39,925491 0,247255
16 3 1 39,157994 0,227449
17 1 1 41,392087 0,337180
17 2 1 41,026117 0,249925
17 3 1 41,119744 0,263458
18 1 1 41,653794 0,144788
18 2 1 42,577932 0,387147
18 3 1 41,657418 0,271852
19 1 1 43,154975 0,210875
19 2 1 42,015470 0,236499
19 3 1 44,257654 0,230355
20 1 1 42,304922 0,250389
20 2 1 41,849438 0,224789
20 3 1 43,516942 0,269369
21 1 1 43,896606 0,385174
21 2 1 42,170988 0,275074
21 3 1 43,017275 0,256886
22 1 1 42,508716 0,204928
22 2 1 44,113674 0,242927
22 3 1 44,486910 0,235989
23 1 1 42,853329 0,200114
23 2 1 43,524134 0,232258
23 3 1 42,420714 0,342397
24 1 1 41,553969 0,229893
24 2 1 40,012971 0,278136
24 3 1 41,101438 0,299470
