1 1 1 49,416179 0,960000
1 2 1 50,089887 1,120000
1 3 1 48,989480 0,800000
2 1 1 49,201850 0,960000
2 2 1 51,385697 0,960000
2 3 1 49,989119 0,960000
3 1 1 49,711942 0,800000
3 2 1 49,590892 0,800000
3 3 1 49,942299 0,800000
4 1 1 50,651046 0,960000
4 2 1 48,916513 0,800000
4 3 1 47,291719 0,960000
5 1 1 50,524126 0,800000
5 2 1 48,833693 1,120000
5 3 1 49,949245 0,800000
6 1 1 48,460083 0,800000
6 2 1 49,279513 0,800000
6 3 1 48,991562 0,800000
7 1 1 47,679247 0,800000
7 2 1 48,164627 0,800000
7 3 1 51,010044 0,800000
8 1 1 48,241748 0,640000
8 2 1 49,735871 0,800000
8 3 1 42,477162 0,960000
9 1 1 49,689018 0,960000
9 2 1 51,960881 0,800000
9 3 1 50,496007 0,960000
10 1 1 50,728988 0,800000
10 2 1 51,514977 0,800000
10 3 1 48,987734 1,120000
11 1 1 48,082818 0,640000
11 2 1 48,142784 0,800000
11 3 1 49,661702 0,960000
12 1 1 50,138259 0,800000
12 2 1 48,310815 0,800000
12 3 1 48,698159 0,800000
13 1 1 51,088573 0,800000
13 2 1 49,856894 0,800000
13 3 1 48,235843 0,640000
14 1 1 49,071778 0,800000
14 2 1 50,900152 0,800000
14 3 1 51,478155 0,800000
15 1 1 49,756501 0,800000
15 2 1 49,261925 0,800000
15 3 1 51,145393 0,960000
16 1 1 49,320793 1,120000
16 2 1 48,613825 0,960000
16 3 1 47,150513 0,960000
17 1 1 49,990032 0,960000
17 2 1 49,276346 0,800000
17 3 1 49,544870 0,960000
18 1 1 50,643284 0,800000
18 2 1 50,406914 0,960000
18 3 1 49,687195 0,960000
19 1 1 51,418052 0,800000
19 2 1 50,324513 0,960000
19 3 1 52,774202 0,800000
20 1 1 51,052441 0,800000
20 2 1 50,849875 0,800000
20 3 1 48,598090 0,960000
21 1 1 52,737787 1,120000
21 2 1 50,083378 0,800000
21 3 1 50,559642 0,800000
22 1 1 50,981952 0,640000
22 2 1 52,306633 0,800000
22 3 1 52,430982 0,800000
23 1 1 51,512945 0,800000
23 2 1 51,761326 0,640000
23 3 1 50,621379 0,960000
24 1 1 50,178193 0,800000
24 2 1 48,131083 0,800000
24 3 1 49,192993 0,960000
