1 1 1 0,928588 0,089509
1 2 1 0,788340 -2,753849
1 3 1 0,645202 -0,511938
2 1 1 0,658380 -0,601368
2 2 1 0,773289 -0,492083
2 3 1 0,737288 -0,054482
3 1 1 0,747300 -0,439318
3 2 1 0,782117 0,137637
3 3 1 0,781312 -0,395506
4 1 1 0,696304 -1,571822
4 2 1 0,691844 2,262969
4 3 1 0,731216 2,637739
5 1 1 1,054434 -0,331977
5 2 1 1,299786 -0,081007
5 3 1 1,141525 0,445710
6 1 1 0,867827 1,090592
6 2 1 1,062043 -0,717646
6 3 1 0,913571 -0,566098
7 1 1 0,925238 0,029983
7 2 1 0,965996 0,530670
7 3 1 0,791694 -0,765807
8 1 1 0,852545 1,171252
8 2 1 0,928291 0,534993
8 3 1 0,973786 0,060574
9 1 1 0,754420 1,841890
9 2 1 0,653193 -2,911690
9 3 1 0,663856 -0,144120
10 1 1 0,644037 1,371047
10 2 1 0,934069 -1,229582
10 3 1 0,915372 -0,825994
11 1 1 0,652508 -0,600368
11 2 1 0,641240 0,430007
11 3 1 0,544605 -2,511443
12 1 1 0,679277 -0,218150
12 2 1 0,684654 -1,460114
12 3 1 0,391403 -1,113099
13 1 1 0,780267 -0,953595
13 2 1 0,872494 -0,190904
13 3 1 0,955731 0,370038
14 1 1 0,541369 -0,723006
14 2 1 0,879992 -1,126508
14 3 1 0,724420 -1,583964
15 1 1 0,927321 0,420304
15 2 1 1,055377 0,486302
15 3 1 0,746791 -1,829773
16 1 1 0,791635 0,525993
16 2 1 0,769410 1,756224
16 3 1 1,101019 0,715101
17 1 1 1,090611 0,846317
17 2 1 1,018143 -0,228536
17 3 1 0,896656 0,047251
18 1 1 0,725811 -0,401482
18 2 1 1,051345 0,036132
18 3 1 0,874377 -0,578197
19 1 1 0,676597 -1,208344
19 2 1 0,761589 0,064557
19 3 1 0,950028 -1,870193
20 1 1 0,831547 0,244536
20 2 1 0,796217 0,769835
20 3 1 0,503454 2,579944
21 1 1 0,769669 0,783454
21 2 1 1,008304 -0,237481
21 3 1 0,794220 -0,747250
22 1 1 0,783998 -0,611843
22 2 1 0,695063 0,077605
22 3 1 0,575958 -1,879666
23 1 1 0,639159 -0,730250
23 2 1 0,393449 -0,940840
23 3 1 1,022123 -0,241177
24 1 1 0,787526 -0,875973
24 2 1 0,807268 -0,820042
24 3 1 0,844264 -0,555871
