1 1 1 1,269944 1,313024
1 2 1 0,543117 -1,465988
1 3 1 1,319199 0,799558
2 1 1 1,091830 -1,949485
2 2 1 0,993038 -1,071630
2 3 1 0,645071 3,931520
3 1 1 1,624934 0,411587
3 2 1 1,925054 -0,054037
3 3 1 2,551081 3,894256
4 1 1 1,685012 -2,932179
4 2 1 0,543693 1,103226
4 3 1 1,325480 2,232837
5 1 1 1,184403 -0,160909
5 2 1 1,704509 0,160200
5 3 1 0,886748 -0,923409
6 1 1 1,721802 0,008211
6 2 1 1,473222 -0,817788
6 3 1 1,630092 1,251658
7 1 1 1,260011 -0,575041
7 2 1 1,197134 -0,315058
7 3 1 1,358296 -0,788360
8 1 1 0,763283 0,629792
8 2 1 0,988771 0,795231
8 3 1 1,473376 2,006165
9 1 1 0,953743 1,526231
9 2 1 1,445522 -4,476779
9 3 1 1,322387 0,998737
10 1 1 0,903887 1,620942
10 2 1 1,009765 -1,453525
10 3 1 1,553566 -1,427428
11 1 1 1,548798 -0,635503
11 2 1 1,360258 1,827979
11 3 1 1,297590 -3,253680
12 1 1 0,783882 -2,876946
12 2 1 0,764680 -1,414123
12 3 1 1,464800 -2,742671
13 1 1 0,951482 -1,133692
13 2 1 1,176549 0,527560
13 3 1 1,022766 -0,090749
14 1 1 1,116482 -0,378788
14 2 1 1,854284 -0,501243
14 3 1 1,247196 -1,035284
15 1 1 0,498811 -1,628633
15 2 1 1,306284 0,939770
15 3 1 1,446384 -1,152874
16 1 1 0,970443 0,330154
16 2 1 1,092316 1,629405
16 3 1 1,088282 -0,641316
17 1 1 1,468833 -0,830001
17 2 1 1,271677 -0,801232
17 3 1 1,221200 0,254786
18 1 1 0,213429 -3,525639
18 2 1 1,099333 0,166698
18 3 1 0,810970 -1,300767
19 1 1 1,486908 1,716472
19 2 1 1,414611 1,773485
19 3 1 3,668996 -10,238610
20 1 1 1,253229 0,053330
20 2 1 1,627069 1,421706
20 3 1 1,482925 -2,309419
21 1 1 1,091381 -0,334013
21 2 1 1,412326 0,188800
21 3 1 1,435283 -1,912345
22 1 1 1,095723 0,472994
22 2 1 1,318151 -0,064343
22 3 1 0,800388 -0,926405
23 1 1 0,822547 -1,047158
23 2 1 0,850231 -0,476398
23 3 1 1,652934 0,396018
24 1 1 1,438058 -0,547582
24 2 1 1,178058 -0,601375
24 3 1 1,779003 -0,741736
