1 1 1 41,037236 0,226579
1 2 1 41,922341 0,229804
1 3 1 40,955912 0,214492
2 1 1 41,407325 0,202398
2 2 1 43,076241 0,170483
2 3 1 41,362061 0,170949
3 1 1 41,050704 0,394567
3 2 1 41,023259 0,208406
3 3 1 41,785637 0,179005
4 1 1 42,219623 0,217764
4 2 1 40,739918 0,291312
4 3 1 38,913320 0,387436
5 1 1 42,316054 0,206409
5 2 1 40,916012 0,193141
5 3 1 41,879943 0,232586
6 1 1 39,739754 0,171631
6 2 1 40,198840 0,172656
6 3 1 40,387330 0,167347
7 1 1 39,244788 0,173829
7 2 1 39,757466 0,169000
7 3 1 42,554315 0,182910
8 1 1 39,805120 0,223634
8 2 1 41,554844 0,251147
8 3 1 40,192137 0,273020
9 1 1 40,801182 0,185032
9 2 1 43,711884 0,172925
9 3 1 42,223260 0,211477
10 1 1 41,897149 0,174091
10 2 1 42,764892 0,188383
10 3 1 40,119214 0,187568
11 1 1 40,520274 0,313457
11 2 1 39,642061 0,257974
11 3 1 41,936175 0,231923
12 1 1 40,954359 0,247139
12 2 1 39,665891 0,258321
12 3 1 40,202186 0,290588
13 1 1 42,749500 0,225040
13 2 1 41,454931 0,236900
13 3 1 39,608165 0,241235
14 1 1 40,216124 0,130783
14 2 1 41,988854 0,205217
14 3 1 42,312147 0,153957
15 1 1 41,063062 0,210460
15 2 1 40,482827 0,216436
15 3 1 42,195982 0,206492
16 1 1 40,589748 0,285796
16 2 1 40,109999 0,391306
16 3 1 38,583173 0,348586
17 1 1 41,423758 0,233364
17 2 1 40,621041 0,213872
17 3 1 40,955399 0,209067
18 1 1 41,569055 0,222987
18 2 1 42,020536 0,260319
18 3 1 40,763916 0,250239
19 1 1 42,565764 0,443537
19 2 1 41,349197 0,413128
19 3 1 44,240360 0,328297
20 1 1 41,953253 0,383952
20 2 1 41,341757 0,381653
20 3 1 43,471545 0,440340
21 1 1 44,367050 0,178136
21 2 1 41,830116 0,197977
21 3 1 42,671296 0,193801
22 1 1 42,092242 0,151233
22 2 1 43,835700 0,152120
22 3 1 44,478675 0,146507
23 1 1 43,013349 0,154627
23 2 1 43,245152 0,160254
23 3 1 41,659831 0,196648
24 1 1 41,661617 0,266559
24 2 1 39,738604 0,247438
24 3 1 40,684950 0,298971
