1 1 1 41,167445 0,401886
1 2 1 41,936089 0,335381
1 3 1 41,220999 0,333141
2 1 1 42,635977 0,315404
2 2 1 43,535314 0,350070
2 3 1 41,835319 0,356948
3 1 1 41,611479 0,258396
3 2 1 41,497039 0,295030
3 3 1 42,000000 0,473739
4 1 1 42,717607 0,303165
4 2 1 40,822772 -0,311832
4 3 1 39,787646 0,303889
5 1 1 42,393762 0,295321
5 2 1 41,006024 0,336616
5 3 1 42,118645 0,288989
6 1 1 40,225978 0,297388
6 2 1 41,333702 0,285975
6 3 1 41,146316 0,306717
7 1 1 39,634860 0,293328
7 2 1 40,246081 0,249517
7 3 1 42,966001 0,298962
8 1 1 39,957548 0,290395
8 2 1 41,916017 0,273682
8 3 1 40,307708 0,386258
9 1 1 41,598145 0,313709
9 2 1 44,113012 0,312844
9 3 1 42,457028 0,335015
10 1 1 42,437678 0,270346
10 2 1 43,536590 0,328040
10 3 1 41,069255 0,327043
11 1 1 40,920944 0,270366
11 2 1 40,189224 0,288500
11 3 1 42,819916 0,289884
12 1 1 41,839274 0,246658
12 2 1 41,260782 0,263270
12 3 1 40,186164 0,303924
13 1 1 43,129649 0,246466
13 2 1 42,067670 0,273793
13 3 1 40,592332 0,279592
14 1 1 40,806543 0,246546
14 2 1 43,068482 0,310133
14 3 1 43,728527 0,328713
15 1 1 41,603494 0,278802
15 2 1 41,362189 0,311988
15 3 1 43,254794 0,338192
16 1 1 41,243825 0,287798
16 2 1 40,783467 0,307421
16 3 1 39,269906 0,289611
17 1 1 41,747575 0,370663
17 2 1 41,201154 0,267907
17 3 1 41,323350 0,342205
18 1 1 42,540764 0,275542
18 2 1 42,814010 0,358410
18 3 1 41,689958 0,291149
19 1 1 43,681290 0,266421
19 2 1 42,407043 0,271433
19 3 1 44,605572 0,287770
20 1 1 43,121828 0,252444
20 2 1 42,099004 0,307514
20 3 1 43,742976 0,349518
21 1 1 44,703883 0,386378
21 2 1 42,069419 0,298190
21 3 1 43,202887 0,316966
22 1 1 42,829175 0,263335
22 2 1 44,406805 0,312150
22 3 1 44,769111 0,282728
23 1 1 43,149439 0,272836
23 2 1 43,800821 0,281221
23 3 1 42,490520 0,367565
24 1 1 42,070423 0,298114
24 2 1 40,252880 0,295511
24 3 1 41,352317 0,319179
